[2026-05-04 11:01:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":9,"last_seen":"2026-05-04T14:01:07.309Z","linkquality":87,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 11:01:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:07.472Z","linkquality":61,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":3.78}'
[2026-05-04 11:01:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:08.475Z","linkquality":61,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.56}'
[2026-05-04 11:01:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":10.5,"illuminance":3,"last_seen":"2026-05-04T14:01:08.908Z","linkquality":72,"maximum_range":2.4,"minimum_range":0.6,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-04 11:01:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":15.5,"illuminance":9,"last_seen":"2026-05-04T14:01:08.908Z","linkquality":83,"maximum_range":2.1,"minimum_range":0,"presence":false,"radar_sensitivity":8,"target_distance":0}'
[2026-05-04 11:01:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave cozinha', payload '{"cli":" ","detection_delay":0,"fading_time":15,"illuminance":205,"last_seen":"2026-05-04T14:01:09.474Z","linkquality":61,"maximum_range":4.05,"minimum_range":0.6,"presence":true,"radar_sensitivity":7,"self_test":"check_success","target_distance":2.43}'
[2026-05-04 11:01:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:09.812Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:09.863Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:09.917Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:09.969Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:10.019Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:10.070Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:10.136Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:10.221Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":332,"last_seen":"2026-05-04T14:01:10.271Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
[2026-05-04 11:01:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":329,"last_seen":"2026-05-04T14:01:10.326Z","linkquality":69,"maximum_range":4.5,"minimum_range":1.8,"presence":false,"radar_sensitivity":4,"self_test":"check_success","target_distance":0}'
